"locid","address","X","Y","capacity","ID"
"37.6530111,-77.3753753","8079 Studley Road MECHANICSVILLE VA 23116",37.6530111,-77.3753753,188,"l29"
"38.6610008,-77.3607063","5070 Dale Boulevard WOODBRIDGE VA 22193",38.6610008,-77.3607063,240,"l30"
"38.9366289,-77.3719651","12300 Pinecrest Road RESTON VA 20191",38.9366289,-77.3719651,40,"l31"
"38.1194525,-78.4475103","1550-1562 Insurance Lane CHARLOTTESVILLE VA 22911",38.1194525,-78.4475103,138,"l32"
"36.6919593,-79.8860323","710 Smith Rd. MARTINSVILLE VA 24112",36.6919593,-79.8860323,50,"l33"
"39.1291451,-77.7234341","37018 Glendale Street PURCELLVILLE VA 20134",39.1291451,-77.7234341,30,"l34"
"38.7328904,-77.0570273","1301 Collingswood Road ALEXANDRIA VA 22308",38.7328904,-77.0570273,150,"l35"
"36.8457106,-76.4138919","4320 Bruce Road CHESAPEAKE VA 23321",36.8457106,-76.4138919,160,"l36"
"38.9791073,-77.3377817","11375 Center Harbor Road RESTON VA 20194",38.9791073,-77.3377817,100,"l37"
"38.8279009,-77.0667898","2400 Russell Road ALEXANDRIA VA 22301",38.8279009,-77.0667898,100,"l38"
"39.0565665,-77.40986","20196 Carter Ct. STERLING VA 20165",39.0565665,-77.40986,75,"l39"
"36.8543923,-76.2033344","931 GlenRock Road NORFOLK VA 23502",36.8543923,-76.2033344,119,"l40"
"36.8553407,-76.1777976","1025 Newtown Road NORFOLK VA 23502",36.8553407,-76.1777976,40,"l41"
"36.8942912,-76.1437273","4809 Shell Road VIRGINIA BEACH VA 23455",36.8942912,-76.1437273,50,"l42"
"38.753681,-77.4851645","9294 Stonewall Road MANASSAS VA 20110-2545",38.753681,-77.4851645,150,"l43"
"37.7909614,-79.8934682","101 YMCA Way COVINGTON VA 24426",37.7909614,-79.8934682,50,"l44"
"37.8000733,-79.8740139","100 Gleason Drive COVINGTON VA 24426",37.8000733,-79.8740139,100,"l45"
"37.7899914,-79.9849653","515 E. Pine Street COVINGTON VA 24426",37.7899914,-79.9849653,133,"l46"
"36.9112762,-76.2414488","7425 Chesapeake Blvd NORFOLK VA 23513",36.9112762,-76.2414488,137,"l47"
"38.7479689,-77.4997266","10047 Nokesville Road MANASSAS VA 20110-4131",38.7479689,-77.4997266,50,"l48"
"36.8815561,-76.3813842","4061 River Shore Road PORTSMOUTH VA 23703",36.8815561,-76.3813842,75,"l49"
"36.8580979,-76.3843809","5601 Michael Lane PORTSMOUTH VA 23703",36.8580979,-76.3843809,75,"l50"
"36.8908776,-76.3847998","5700 Hedgerow Lane PORTSMOUTH VA 23703",36.8908776,-76.3847998,75,"l51"
"36.8518718,-76.4632337","1000 Bennetts Creek Park Road SUFFOLK VA 23435",36.8518718,-76.4632337,100,"l52"
"36.7668736,-76.5893451","2316 Willaim Reid Dr SUFFOLK VA 23434",36.7668736,-76.5893451,100,"l53"
"36.8242213,-76.4905011","4540 Nansemond Parkway SUFFOLK VA 23435",36.8242213,-76.4905011,100,"l54"
"36.7753725,-76.5628776","1101 Hillpoint Road SUFFOLK VA 23434",36.7753725,-76.5628776,100,"l55"
"36.8146536,-76.3833078","1201 Cherokee Road PORTSMOUTH VA 23701",36.8146536,-76.3833078,75,"l56"
"36.8415233,-76.3467695","3649 Hartford Street PORTSMOUTH VA 23707",36.8415233,-76.3467695,75,"l57"
"36.7245273,-76.6303394","111 Kilby Shore Drive SUFFOLK VA 23434",36.7245273,-76.6303394,100,"l58"
"36.7982936,-76.3715063","1300 Horne Avenue PORTSMOUTH VA 23701",36.7982936,-76.3715063,75,"l59"
"36.7543027,-76.5400062","1253 Nansemond Parkway SUFFOLK VA 23434",36.7543027,-76.5400062,100,"l60"
"36.8371157,-76.3397591","3000 North Street PORTSMOUTH VA 23707",36.8371157,-76.3397591,75,"l61"
"36.79493,-76.5238941","3012 Nansemond Parkway SUFFOLK VA 23434",36.79493,-76.5238941,100,"l62"
"36.89058,-76.4127499","6701 Respass Beach Road SUFFOLK VA 23435",36.89058,-76.4127499,100,"l63"
"36.8486341,-76.5909928","5505 Godwin Boulevard SUFFOLK VA 23434",36.8486341,-76.5909928,100,"l64"
"36.8267577,-76.3819009","415 Mimosa Road PORTSMOUTH VA 23701",36.8267577,-76.3819009,75,"l65"
"36.8396752,-76.3139049","260 Elm Avenue PORTSMOUTH VA 23704",36.8396752,-76.3139049,75,"l66"
"36.6909584,-76.7419938","150 Pioneer Road SUFFOLK VA 23437",36.6909584,-76.7419938,100,"l67"
"36.8271494,-76.3660328","4841 Clifford Street PORTSMOUTH VA 23701",36.8271494,-76.3660328,75,"l68"
"36.8073832,-76.3361533","2828 Greenwood Drive PORTSMOUTH VA 23701",36.8073832,-76.3361533,75,"l69"
"36.8292978,-76.3491665","3701 Clifford Street PORTSMOUTH VA 23707",36.8292978,-76.3491665,75,"l70"
"38.7699533,-77.4570207","8602 Mathis Avenue MANASSAS VA 20110",38.7699533,-77.4570207,25,"l71"
"38.605503,-77.3488633","16125 Dumfries Road DUMFRIES VA 22026",38.605503,-77.3488633,75,"l72"
"38.7353499,-77.4973557","10100 Hasting Drive MANASSAS VA 20110",38.7353499,-77.4973557,45,"l73"
"38.5899463,-77.3043144","3100 Panther Pride Drive DUMFRIES VA 22026",38.5899463,-77.3043144,105,"l74"
"38.6216247,-77.3438177","3799 Waterway Drive DUMFRIES VA 22025",38.6216247,-77.3438177,75,"l75"
"38.8421834,-77.6545073","5300 Waverly Farm Drive HAYMARKET VA 20169",38.8421834,-77.6545073,125,"l76"
"38.6933917,-77.2980486","12000 Antietam Road WOODBRIDGE VA 22192",38.6933917,-77.2980486,75,"l77"
"38.6225648,-77.3942551","15300 Bowmans Folly Drive MANASSAS VA 20112",38.6225648,-77.3942551,105,"l78"
"38.7489412,-77.4693647","1978 Eagle Way MANASSAS VA 20110",38.7489412,-77.4693647,90,"l79"
"38.6442267,-77.3191942","14151 Ferndale Road WOODBRIDGE VA 22193",38.6442267,-77.3191942,60,"l80"
"38.657935,-77.239187","751 Norwood Lane WOODBRIDGE VA 22191",38.657935,-77.239187,50,"l81"
"38.7281111,-77.4632954","8800 Old Dominion Drive MANASSAS VA 20110",38.7281111,-77.4632954,105,"l82"
"38.6569361,-77.4305746","7411 Hoadley Road MANASSAS VA 20112",38.6569361,-77.4305746,25,"l83"
"38.7617092,-77.589433","8990 Worthington Drive BRISTOW VA 20136",38.7617092,-77.589433,105,"l84"
"38.7979847,-77.6363404","10511 Wharfdale Place GAINESVILLE VA 20155",38.7979847,-77.6363404,105,"l85"
"38.823403,-77.605515","6308 Catharpin Road GAINESVILLE VA 20155",38.823403,-77.605515,25,"l86"
"38.7340881,-77.5708078","12601 Braemar Parkway BRISTOW VA 20136",38.7340881,-77.5708078,90,"l87"
"38.7747058,-77.5709869","12612 Foglight Way BRISTOW VA 20136",38.7747058,-77.5709869,105,"l88"
"38.6588231,-77.4289115","7405 Hoadly Road MANASSAS VA 20112",38.6588231,-77.4289115,50,"l89"
"38.5714703,-77.2872958","2500 River Heritage Boulavard DUMFRIES VA 22026",38.5714703,-77.2872958,100,"l90"
"38.6368377,-77.3138654","14450 Brook Drive WOODBRIDGE VA 22193",38.6368377,-77.3138654,50,"l91"
"38.5683514,-77.3313207","3990 Cameron Street DUMFRIES VA 22026",38.5683514,-77.3313207,45,"l92"
"38.7655228,-77.5104006","10400 Kim Grahm Lane MANASSAS VA 20109",38.7655228,-77.5104006,75,"l93"
"38.6508323,-77.3611773","13900 Lindendale Road WOODBRIDGE VA 22193",38.6508323,-77.3611773,50,"l94"
"38.6311402,-77.2664669","14805 Blackburn Road WOODBRIDGE VA 22191",38.6311402,-77.2664669,60,"l95"
"38.617259,-77.3096469","15500 Benita Fitzgerald Drive WOODBRIDGE VA 22193",38.617259,-77.3096469,105,"l96"
"38.7688181,-77.6166488","8584 Sedge Wren Drive GAINESVILLE VA 20155",38.7688181,-77.6166488,90,"l97"
"38.8587699,-77.6463639","4670 Waverly Farm Drive HAYMARKET VA 20169",38.8587699,-77.6463639,105,"l98"
"38.6347339,-77.3404179","14800 Darbydale Avenue WOODBRIDGE VA 22193",38.6347339,-77.3404179,25,"l99"
"38.8064476,-77.6513537","15500 Learning Lane HAYMARKET VA 20169",38.8064476,-77.6513537,105,"l100"
"38.667803,-77.331362","4060 Prince William Parkway WOODBRIDGE VA 22192",38.667803,-77.331362,60,"l101"
"38.6683242,-77.3449377","13199 Kerrydale Road WOODBRIDGE VA 22193",38.6683242,-77.3449377,100,"l102"
"38.6583234,-77.2689037","1800 Horner Road WOODBRIDGE VA 22191",38.6583234,-77.2689037,120,"l103"
"38.6683602,-77.3801842","13224 Nickleson Drive WOODBRIDGE VA 22193",38.6683602,-77.3801842,105,"l104"
"38.6958274,-77.3131698","11970 Hedges Run Drive WOODBRIDGE VA 22192",38.6958274,-77.3131698,104,"l105"
"38.6044138,-77.2837947","15800 Neabsco Road WOODBRIDGE VA 22191",38.6044138,-77.2837947,75,"l106"
"38.6813666,-77.4202621","12505 Kahns Road MANASSAS VA 20112",38.6813666,-77.4202621,105,"l107"
"38.6456636,-77.2811912","14100 Page Street WOODBRIDGE VA 22191",38.6456636,-77.2811912,50,"l108"
"38.6499234,-77.3773922","13540 Princedale Drive WOODBRIDGE VA 22193",38.6499234,-77.3773922,75,"l109"
"38.6533452,-77.3452742","13639 Greenwood Drive WOODBRIDGE VA 22193",38.6533452,-77.3452742,50,"l110"
"38.6258673,-77.3580148","4920 Tallowwood Drive DUMFRIES VA 22192",38.6258673,-77.3580148,75,"l111"
"38.837046,-77.628125","5600 McLeod Way HAYMARKET VA 20169",38.837046,-77.628125,75,"l112"
"38.7842877,-77.5313984","8000 Rodes Drive MANASSAS VA 20109",38.7842877,-77.5313984,90,"l113"
"38.6256384,-77.324994","3800 Cordell Avenue WOODBRIDGE VA 22193",38.6256384,-77.324994,50,"l114"
"38.6873339,-77.5703755","12375 Aden Road NOKESVILLE VA 20181",38.6873339,-77.5703755,75,"l115"
"38.6717879,-77.2594912","12915 Occoquan Road WOODBRIDGE VA 22192",38.6717879,-77.2594912,50,"l116"
"38.6824873,-77.3052489","3051 Old Bridge Road WOODBRIDGE VA 22192",38.6824873,-77.3052489,75,"l117"
"38.6736659,-77.3681525","12980 Queen Chapel Road WOODBRIDGE VA 22193",38.6736659,-77.3681525,90,"l118"
"38.7537895,-77.4831929","9305 Stonewall Road MANASSAS VA 20110",38.7537895,-77.4831929,75,"l119"
"38.7746124,-77.5940888","8301 Linton Hall Road BRISTOW VA 20136",38.7746124,-77.5940888,160,"l120"
"38.6174673,-77.2770614","15311 Forest Grove Lane WOODBRIDGE VA 22191",38.6174673,-77.2770614,180,"l121"
"38.5927401,-77.3065185","3130 Panther Pride Drive DUMFRIES VA 22026",38.5927401,-77.3065185,25,"l122"
"38.6362221,-77.2555122","14601 Lamar Road WOODBRIDGE VA 22191",38.6362221,-77.2555122,45,"l123"
"38.8450869,-77.6619119","15801 Tanning House Place HAYMARKET VA 20169",38.8450869,-77.6619119,25,"l124"
"38.5839417,-77.295016","16950 McGuffey's Trail WOODBRIDGE VA 22191",38.5839417,-77.295016,75,"l125"
"38.6839805,-77.2763431","2300 Mariner Lane WOODBRIDGE VA 22192",38.6839805,-77.2763431,100,"l126"
"38.6592937,-77.384927","13446 Princedale Drive WOODBRIDGE VA 22193",38.6592937,-77.384927,75,"l127"
"38.7475179,-77.4372981","9553 Birmingham Drive MANASSAS VA 20111",38.7475179,-77.4372981,75,"l128"
"38.7876305,-77.5072086","7801 Garner Drive MANASSAS VA 20109",38.7876305,-77.5072086,75,"l129"
"38.6853989,-77.3258915","3815 Marquis Place WOODBRIDGE VA 22192",38.6853989,-77.3258915,75,"l130"
"38.7928625,-77.4871361","9744 Copeland Drive MANASSAS VA 20109",38.7928625,-77.4871361,75,"l131"
"38.5651919,-77.30583","17700 Wayside Drive DUMFRIES VA 22026",38.5651919,-77.30583,90,"l132"
"38.7234721,-77.5807476","10600 Kettle Run Road NOKESVILLE VA 20181",38.7234721,-77.5807476,105,"l133"
"38.5422774,-77.3199683","3615 Lions Field Road TRIANGLE VA 22172",38.5422774,-77.3199683,75,"l134"
"38.8059313,-77.6218406","14500 John Marshall Highway GAINESVILLE VA 20155",38.8059313,-77.6218406,75,"l135"
"38.6522185,-77.2792161","2200 York Drive WOODBRIDGE VA 22191",38.6522185,-77.2792161,75,"l136"
"38.7541887,-77.5539709","12001 Tygart Drive BRISTOW VA 20136",38.7541887,-77.5539709,105,"l137"
"38.7664513,-77.4677771","8750 Weems Road MANASSAS VA 20110",38.7664513,-77.4677771,45,"l138"
"38.68485,-77.3355832","12400 Knightsbridge Drive WOODBRIDGE VA 22192",38.68485,-77.3355832,90,"l139"
"38.6336346,-77.3796348","5710 Liberty Hill Court WOODBRIDGE VA 22193",38.6336346,-77.3796348,130,"l140"
"38.6495248,-77.2788233","2201 York Drive WOODBRIDGE VA 22191",38.6495248,-77.2788233,25,"l141"
"38.789723,-77.4599829","7610 Old Centerville Road MANASSAS VA 20110",38.789723,-77.4599829,75,"l142"
"36.7980165,-76.3195196","18 Dahlgreen Avenue PORTSMOUTH VA 23702",36.7980165,-76.3195196,75,"l143"
"37.0210724,-76.4046246","927 Aberdeen Road HAMPTON VA 23666",37.0210724,-76.4046246,15,"l144"
"37.0207378,-76.4045794","923 Aberdeen Road HAMPTON VA 23666",37.0207378,-76.4045794,48,"l145"
"37.3440651,-79.2374496","Tomahawk Elementary 155 Bee Drive LYNCHBURG VA 24502",37.3440651,-79.2374496,125,"l146"
"38.2859323,-77.5386991","11919 Rutherford Drive FREDERICKSBURG VA 22407",38.2859323,-77.5386991,75,"l147"
"36.9810482,-76.4104449","2004 Wickham Avenue NEWPORT NEWS VA 23607",36.9810482,-76.4104449,40,"l148"
"37.54929,-77.3596706","54 E. Cedar Fork Road RICHMOND VA 23223",37.54929,-77.3596706,50,"l149"
"36.7951475,-76.1111584","1547 & 1543 Amberley Forest Road VIRGINIA BEACH VA 23453",36.7951475,-76.1111584,74,"l150"
"37.3347473,-77.9796199","8741 N. Five Forks Road AMELIA VA 23002",37.3347473,-77.9796199,40,"l151"
"37.4525213,-79.1260554","621 Dillard Road MADISON HEIGHTS VA 24572",37.4525213,-79.1260554,139,"l152"
"38.8091704,-77.0492055","917 Princess Street ALEXANDRIA VA 22314",38.8091704,-77.0492055,99,"l153"
"38.810311,-77.0501792","501 N. Henry Street ALEXANDRIA VA 22314",38.810311,-77.0501792,28,"l154"
"38.810028,-77.050937","1108 Oronoco Street ALEXANDRIA VA 22314",38.810028,-77.050937,62,"l155"
"37.3335404,-77.9833002","8620 North Five Forks Road AMELIA VA 23002",37.3335404,-77.9833002,88,"l156"
"37.3341941,-77.9808467","8721 North Five Forks Road AMELIA VA 23002",37.3341941,-77.9808467,88,"l157"
"37.5840855,-79.0495202","163 Second Street AMHERST VA 24521",37.5840855,-79.0495202,41,"l158"
"38.8538874,-77.0551196","2201 & 2205 S. Fern Street ARLINGTON VA 22202",38.8538874,-77.0551196,43,"l159"
"37.3001491,-78.3922296","213 Fourth Street FARMVILLE VA 23901",37.3001491,-78.3922296,72,"l160"
"38.9222971,-78.1855215","517 Braxton Road FRONT ROYAL VA 22630",38.9222971,-78.1855215,100,"l161"
"38.9274143,-78.1912317","621 & 633 N. Commerce Avenue FRONT ROYAL VA 22630",38.9274143,-78.1912317,99,"l162"
"36.9282044,-76.1923432","9573 Shore Drive Suite A NORFOLK VA 23518",36.9282044,-76.1923432,156,"l163"
"37.3023438,-79.9964339","3907 Hershberger Road NW ROANOKE VA 24017",37.3023438,-79.9964339,64,"l164"
"37.1930537,-77.4732894","5810 Boydton Plank Road NORTH DINWIDDIE VA 23803",37.1930537,-77.4732894,143,"l165"
"36.8457327,-76.1430932","329 Kellam Road VIRGINIA BEACH VA 23462",36.8457327,-76.1430932,29,"l166"
"38.6091584,-77.3600362","5167 Waterway Drive DUMFRIES VA 22025",38.6091584,-77.3600362,50,"l167"
"38.150774,-79.0649028","101 VSDB Drive STAUNTON VA 24401",38.150774,-79.0649028,75,"l168"
"38.8332227,-77.1904368","7100 Columbia Pike ANNANDALE VA 22003",38.8332227,-77.1904368,80,"l169"
"38.8124135,-77.2101114","5100-A Ravensworth Road ANNANDALE VA 22003",38.8124135,-77.2101114,90,"l170"
"38.8398286,-77.2362493","8410 Little River Turnpike ANNANDALE VA 22003",38.8398286,-77.2362493,50,"l171"
"38.8275011,-77.2085057","7604 Herald Street ANNANDALE VA 22003",38.8275011,-77.2085057,75,"l172"
"38.834357,-77.1850909","6935 Columbia Pike ANNANDALE VA 22003",38.834357,-77.1850909,73,"l173"
"38.834357,-77.1850909","6935 Columbia Pike ANNANDALE VA 22003",38.834357,-77.1850909,178,"l174"
"36.9361605,-80.9453746","122/128 Apache Run Road MAX MEADOWS VA 24360",36.9361605,-80.9453746,77,"l175"
"36.7110327,-76.2408964","304 Newberry Drive CHESAPEAKE VA 23322",36.7110327,-76.2408964,210,"l176"
"36.9001313,-82.7872685","717 West Main Street APPALACHIA VA 24216",36.9001313,-82.7872685,32,"l177"
"36.6079548,-82.1788537","331 Euclid Avenue BRISTOL VA 24201",36.6079548,-82.1788537,100,"l178"
"38.9129786,-78.1844975","348 S. Commerce Avenue FRONT ROYAL VA 22630",38.9129786,-78.1844975,140,"l179"
"37.5247027,-78.0084582","1950 Ridge Road POWHATAN VA 23139",37.5247027,-78.0084582,21,"l180"
"36.7634678,-76.2327447","1141 Executive Blvd. CHESAPEAKE VA 23320",36.7634678,-76.2327447,285,"l181"
"36.7298863,-76.5936562","601 West Washington Street SUFFOLK VA 23434",36.7298863,-76.5936562,112,"l182"
"36.7122863,-76.2353939","163 Mt. Pleasant Road CHESAPEAKE VA 23320",36.7122863,-76.2353939,120,"l183"
"36.7663787,-76.2499487","112 Coastal Way CHESAPEAKE VA 23320",36.7663787,-76.2499487,93,"l184"
"36.6858718,-76.2314814","112 Bruton Court CHESAPEAKE VA 23322",36.6858718,-76.2314814,104,"l185"
"36.7875438,-80.274919","9803 Woolwine Highway WOOLWINE VA 24185",36.7875438,-80.274919,25,"l186"
"38.8862274,-77.2680943","712 Tapawingo Road SW VIENNA VA 22180",38.8862274,-77.2680943,115,"l187"
"38.8716537,-77.2804505","9655 Blake Lane FAIRFAX VA 22031",38.8716537,-77.2804505,105,"l188"
"38.4571563,-77.3954435","1106 Spain Drive STAFFORD VA 22554",38.4571563,-77.3954435,18,"l189"
"38.7304295,-77.092525","8334 Mt. Vernon Highway ALEXANDRIA VA 22309",38.7304295,-77.092525,70,"l190"
"38.937057,-77.5595238","41740 Tall Cedars Parkway ALDIE VA 20105",38.937057,-77.5595238,90,"l191"
"38.864454,-77.0882832","816 S. Walter Reed Drive ARLINGTON VA 22204",38.864454,-77.0882832,40,"l192"
"38.8960559,-77.0846413","1915 N. Uhle Street ARLINGTON VA 22201",38.8960559,-77.0846413,64,"l193"
"38.8863405,-77.1071431","3809 and 3813 N. Washington Blvd. ARLINGTON VA 22201",38.8863405,-77.1071431,56,"l194"
"38.8631724,-77.1262022","5711 S. 4th Street ARLINGTON VA 22204",38.8631724,-77.1262022,20,"l195"
"38.8443957,-77.0891049","3700 South Four Mile Run ARLINGTON VA 22206",38.8443957,-77.0891049,49,"l196"
"38.8481296,-77.0694879","2700 S. Lang Street ARLINGTON VA 22206",38.8481296,-77.0694879,20,"l197"
"38.9231166,-77.1235727","3829 North Stafford Street ARLINGTON VA 22207",38.9231166,-77.1235727,39,"l198"
"38.8682563,-77.1076784","4444 Arlington Blvd. ARLINGTON VA 22204",38.8682563,-77.1076784,62,"l199"
"36.922693,-76.313924","7928 Hampton Boulevard NORFOLK VA 23505",36.922693,-76.313924,100,"l200"
"36.8923263,-76.140534","1465 Lakeside Road VA. BEACH VA 23455",36.8923263,-76.140534,107,"l201"
"37.0546576,-76.4621988","10998 Jefferson Avenue NEWPORT NEWS VA 23601",37.0546576,-76.4621988,92,"l202"
"38.980134,-77.3584634","11900 Lake Newport Road RESTON VA 20194",38.980134,-77.3584634,150,"l203"
"37.2753155,-80.0272497","1760 Roanoke Boulevard SALEM VA 24153",37.2753155,-80.0272497,20,"l204"
"39.0522107,-77.4772778","44062 Finacastle Drive ASHBURN VA 20147",39.0522107,-77.4772778,75,"l205"
"39.0465098,-77.4878978","20854 Stubble Road ASHBURN VA 20147",39.0465098,-77.4878978,160,"l206"
"39.0468747,-77.4724379","20585 Ashburn Village Blvd. ASHBURN VA 20147",39.0468747,-77.4724379,70,"l207"
"37.7568743,-77.4833049","500 South Center Street ASHLAND VA 23005",37.7568743,-77.4833049,20,"l208"
"37.550298,-77.3377144","1117 West Nine Mile Road HIGHLAND SPRINGS VA 23075",37.550298,-77.3377144,74,"l209"
"38.2541176,-76.9641485","410 Washington Avenue COLONIAL BEACH VA 22443",38.2541176,-76.9641485,29,"l210"
"37.3474431,-79.2376038","249 Laxton Road LYNCHBURG VA 24502",37.3474431,-79.2376038,92,"l211"
"36.8672092,-81.4193777","5894 Lee Highway ATKINS VA 24311",36.8672092,-81.4193777,20,"l212"
"37.5215209,-77.6175198","11621 Robious Road MIDLOTHIAN VA 23113",37.5215209,-77.6175198,256,"l213"
"38.0953064,-78.9843561","127 Medical Center Circle FISHERSVILLE VA 22939",38.0953064,-78.9843561,135,"l214"
"39.0216859,-77.4355049","21480 Pacific Blvd Suite 150 STERLING VA 20166",39.0216859,-77.4355049,90,"l215"
"37.1299658,-76.5328818","14357 Deloice Crescent NEWPORT NEWS VA 23602",37.1299658,-76.5328818,72,"l216"
"37.806518,-76.9404498","1657 Powcan Road BRUINGTON VA 23023",37.806518,-76.9404498,75,"l217"
"38.8640343,-77.3053296","10400 Fairfax Village Drive FAIRFAX VA 22030",38.8640343,-77.3053296,93,"l218"
"36.8207225,-76.3924485","6219 Portsmouth Boulevard PORTSMOUTH VA 23701",36.8207225,-76.3924485,94,"l219"
"37.2749534,-79.8950349","360 E. Virginia Avenue Suite 2 VINTON VA 24179",37.2749534,-79.8950349,32,"l220"
"38.8437982,-77.114403","3701 George Mason Drive Suite C2-N FALLS CHURCH VA 22041",38.8437982,-77.114403,40,"l221"
"38.8191669,-77.1513125","6399 Little River Turnpike Suite 101 ALEXANDRIA VA 22312",38.8191669,-77.1513125,40,"l222"
"38.851973,-77.145282","6111 Knollwood Drive FALLS CHURCH VA 22041",38.851973,-77.145282,100,"l223"
"38.8802249,-77.1054123","3850 Wilson Boulevard ARLINGTON VA 22203",38.8802249,-77.1054123,125,"l224"
"36.9192339,-76.2386106","8055 Carlton Street NORFOLK VA 23518",36.9192339,-76.2386106,38,"l225"
"36.919583,-76.2385422","8065 Carlton Street NORFOLK VA 23518",36.919583,-76.2385422,20,"l226"
"37.046305,-76.4583422","596 Hemlock Road NEWPORT NEWS VA 23601",37.046305,-76.4583422,58,"l227"
"38.0274621,-78.4864492","410 Ridge Street CHARLOTTESVILLE VA 22902",38.0274621,-78.4864492,60,"l228"
"37.3212201,-79.1858659","19 George Street LYNCHBURG VA 24502",37.3212201,-79.1858659,200,"l229"
"36.7783761,-76.2234238","1509 River Birch Run North CHESAPEAKE VA 23320",36.7783761,-76.2234238,130,"l230"
"38.93287,-77.2209356","8000 Jones Branch Drive MC LEAN VA 22102",38.93287,-77.2209356,200,"l231"
"36.9060194,-76.1202788","4300 Shore Drive VIRGINIA BEACH VA 23455",36.9060194,-76.1202788,140,"l232"
"37.0942058,-76.5349141","701 Menchville Road NEWPORT NEWS VA 23602",37.0942058,-76.5349141,90,"l233"
"36.7453334,-76.0594696","2660 West Neck Road VA BEACH VA 23456",36.7453334,-76.0594696,140,"l234"
"36.791343,-75.99763","1101 Eaglewood Drive VA BEACH VA 23454",36.791343,-75.99763,160,"l235"
"39.0074483,-77.4918817","43629 Greenway Corporate Drive ASHBURN VA 20147",39.0074483,-77.4918817,304,"l236"
"38.870301,-77.4454565","5003 Westone Plaza CHANTILLY VA 20151",38.870301,-77.4454565,225,"l237"
"38.1550924,-79.0746343","317 N. Lewis Street STAUNTON VA 24401",38.1550924,-79.0746343,64,"l238"
"37.2028793,-77.3832003","1974 South Sycamore Street PETERSBURG VA 23805",37.2028793,-77.3832003,81,"l239"
"37.3409516,-79.5606952","1111 Turnpike Road BEDFORD VA 24523",37.3409516,-79.5606952,180,"l240"
"37.326431,-79.5358434","806 Tiger Trail BEDFORD VA 24523",37.326431,-79.5358434,86,"l241"
